arquivo_extra,observacao
PROD-00001.Foto.175326.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00005.Foto.180646.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00013.Foto.185609.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00014.Foto.185615.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00015.Foto.185621.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00016.Foto.185643.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00028.Foto.180215.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00029.Foto.180220.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00031.Foto.174505.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD-00032.Foto.174513.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD_31401.Foto.153940.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
PROD_31401.Foto.205335.jpg,"Imagem extra/alternativa encontrada no ZIP; preservada em public/fitness-products, mas não usada como vínculo principal."
